recall@10,tm_X3b_en_body_value,tm_X3b_en_field_ref_desc,tm_X3b_en_field_ref_titre,tm_X3b_en_mots_cles,tm_X3b_en_title,tm_X3b_en_corps_value,tm_X3b_en_paragraphs_text,tm_X3b_en_name,tm_X3b_en_mission_value,tm_X3b_en_text_content,tm_X3b_en_full_meta_tag
0.7439,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.5410,3.8197,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3402,6.1803,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7357,2.3607,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.4590,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.8235,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.6413,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.5716,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.5286,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.5020,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.4856,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.4754,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.4691,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.4653,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.4629,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.4614,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.4605,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.4599,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.4595,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.4593,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.4592,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.4591,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.4591,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7439,1.4590,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.6148,1.4590,3.8197,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.4959,1.4590,6.1803,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7172,1.4590,2.3607,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7582,1.4590,1.4590,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7357,1.4590,0.9017,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7541,1.4590,1.5238,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7746,1.4590,1.3017,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7623,1.4590,1.1489,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7787,1.4590,1.2929,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2360,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2028,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2584,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2472,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2429,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2403,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2387,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2377,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2370,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2366,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2364,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2363,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2362,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2361,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2361,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7664,1.4590,1.2361,3.8197,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7377,1.4590,1.2361,6.1803,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7787,1.4590,1.2361,2.3607,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.4590,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7705,1.4590,1.2361,0.9017,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7746,1.4590,1.2361,1.7125,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7828,1.4590,1.2361,1.2461,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7746,1.4590,1.2361,1.5558,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.4183,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.4028,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3932,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3873,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3836,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3813,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3799,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3791,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3785,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3782,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3780,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3779,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3778,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3778,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.8197,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7746,1.4590,1.2361,1.3777,6.1803,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,2.3607,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.0902,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.3688,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.5410,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.6475,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.7132,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.7539,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.7790,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.7945,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.8041,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.8101,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.8137,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.8160,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.8174,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.8183,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.8188,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.8191,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.8193,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.8195,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.8195,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.8196,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7910,1.4590,1.2361,1.3777,3.8196,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7705,1.4590,1.2361,1.3777,3.8196,3.8197,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7541,1.4590,1.2361,1.3777,3.8196,6.1803,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2361,1.3777,3.8196,2.3607,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7951,1.4590,1.2361,1.3777,3.8196,1.4590,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.8115,1.4590,1.2361,1.3777,3.8196,2.2498,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7930,1.4590,1.2361,1.3777,3.8196,1.9531,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.7889,1.4590,1.2361,1.3777,3.8196,2.1365,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.8033,1.4590,1.2361,1.3777,3.8196,2.2065,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.8074,1.4590,1.2361,1.3777,3.8196,2.2836,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.8115,1.4590,1.2361,1.3777,3.8196,2.2516,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.8115,1.4590,1.2361,1.3777,3.8196,2.2507,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.8115,1.4590,1.2361,1.3777,3.8196,2.2504,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.8115,1.4590,1.2361,1.3777,3.8196,2.2501,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.8115,1.4590,1.2361,1.3777,3.8196,2.2500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.8115,1.4590,1.2361,1.3777,3.8196,2.2499,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.8115,1.4590,1.2361,1.3777,3.8196,2.2499,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.8115,1.4590,1.2361,1.3777,3.8196,2.2498,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.4754,1.4590,1.2361,1.3777,3.8196,2.2498,3.8197,1.0000,1.0000,1.0000,1.0000,1.0000
0.4324,1.4590,1.2361,1.3777,3.8196,2.2498,6.1803,1.0000,1.0000,1.0000,1.0000,1.0000
0.6352,1.4590,1.2361,1.3777,3.8196,2.2498,2.3607,1.0000,1.0000,1.0000,1.0000,1.0000
0.7500,1.4590,1.2361,1.3777,3.8196,2.2498,1.4590,1.0000,1.0000,1.0000,1.0000,1.0000
0.8053,1.4590,1.2361,1.3777,3.8196,2.2498,0.9017,1.0000,1.0000,1.0000,1.0000,1.0000
0.7889,1.4590,1.2361,1.3777,3.8196,2.2498,0.5573,1.0000,1.0000,1.0000,1.0000,1.0000
0.8053,1.4590,1.2361,1.3777,3.8196,2.2498,0.8756,1.0000,1.0000,1.0000,1.0000,1.0000
0.8053,1.4590,1.2361,1.3777,3.8196,2.2498,0.8886,1.0000,1.0000,1.0000,1.0000,1.0000
